Printed part#1
t_i,y1_i,y2_i
0.000000,1.000000,1.000000
0.050000,1.052632,1.052632
0.100000,1.111111,1.111111
0.150000,1.176473,1.176473
0.200000,1.249999,1.249999
0.250000,1.333333,1.333333
0.300000,1.428573,1.428573
0.350000,1.538461,1.538461
0.400000,1.666668,1.666668
0.450000,1.818181,1.818181
0.500000,2.000000,2.000000
0.550000,2.222223,2.222223
0.600000,2.499998,2.499998
0.650000,2.857139,2.857139
0.700000,3.333329,3.333329
0.750000,3.999994,3.999994
0.800000,4.999998,4.999998
0.850000,6.666657,6.666657
0.900000,9.999962,9.999962
0.950000,19.999881,19.999881
1.000000,2781336.152617,2781336.152617
